8/q1b5/8/p2B4/K3R3/8/2n5/4N2k w - - 0 1 | ♚♛♝♞♟ vs ♔♖♗♘ | w | 1-0
r7/2p1k2p/7R/2K3P1/p7/4N3/8/8 w - - 0 1 | ♚♜♟♟♟ vs ♔♖♘♙ | w | 1-0
5r2/1B5r/2N5/8/8/5R2/5p1p/5K1k w - - 0 1 | ♚♜♜♟♟ vs ♔♖♗♘ | w | 1-0
2k5/2P4B/1p1p2P1/1P2b3/N3K1P1/4P2P/3p4/8 w - - 0 1 | ♚♝♟♟♟ vs ♔♗♘♙♙♙♙♙♙ | w | 1-0
R7/6N1/8/4p3/4k3/6n1/7b/3K4 w - - 0 1 | ♚♝♞♟ vs ♔♖♘ | w | 1-0
2b4k/8/5Pr1/5N2/8/8/8/K1B5 w - - 0 1 | ♚♜♝ vs ♔♗♘♙ | w | 1-0
8/1p2p3/q7/k1P1p3/8/2K5/1P6/1B1N4 w - - 0 1 | ♚♛♟♟♟ vs ♔♗♘♙♙ | w | 1-0
3B4/8/4p3/1N6/7K/3nk3/7n/1N6 w - - 0 1 | ♚♞♞♟ vs ♔♗♘♘ | w | 1-0
2B1K1k1/4Q2n/7P/5P2/6r1/7q/5P2/8 w - - 0 1 | ♚♛♜♞ vs ♔♕♗♙♙♙ | w | 1-0
8/8/p5Bp/N5p1/b6k/P7/2p3PP/6K1 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♗♘♙♙♙ | w | 1-0
8/8/6pp/7p/8/6Pk/5K2/5N2 w - - 0 1 | ♚♟♟♟ vs ♔♘♙ | w | 1-0
8/8/P7/1Pp4N/3p1Kpk/2p5/6P1/8 w - - 0 1 | ♚♟♟♟♟ vs ♔♘♙♙♙ | w | 1-0
6k1/5p1p/q7/5P1P/4P1K1/4B3/8/3R4 w - - 0 1 | ♚♛♟♟ vs ♔♖♗♙♙♙ | w | 1-0
1K6/8/k2p4/p7/P1p3p1/5p2/2PP4/1R6 w - - 0 1 | ♚♟♟♟♟♟ vs ♔♖♙♙♙ | w | 1-0
4N3/4p3/2B4p/5p1P/7k/5P2/1p4PK/8 w - - 0 1 | ♚♟♟♟♟ vs ♔♗♘♙♙♙ | w | 1-0
3N4/7P/8/6k1/4r3/7K/r6R/8 w - - 0 1 | ♚♜♜ vs ♔♖♘♙ | w | 1-0
6N1/8/2p4R/2P2pk1/1Pr5/2p2P1P/P4P2/7K w - - 0 1 | ♚♜♟♟♟ vs ♔♖♘♙♙♙♙♙♙ | w | 1-0
7K/6p1/8/7p/8/8/R7/6k1 w - - 0 1 | ♚♟♟ vs ♔♖ | w | 1-0
7k/8/5r2/8/8/2R5/8/K1B5 w - - 0 1 | ♚♜ vs ♔♖♗ | w | 1-0
3Q4/3p4/P2p4/N2b4/8/4P3/5p1p/5Kbk w - - 0 1 | ♚♝♝♟♟♟♟ vs ♔♕♘♙♙ | w | 1-0
8/3rpp1K/p7/4P2k/2p4p/2P2P1P/P2P2B1/8 w - - 0 1 | ♚♜♟♟♟♟♟ vs ♔♗♙♙♙♙♙♙ | w | 1-0
1n1K4/8/p1R5/k7/N7/4p3/8/8 w - - 0 1 | ♚♞♟♟ vs ♔♖♘ | w | 1-0
4N2q/3B3p/5p1p/7k/4K2p/7P/8/8 w - - 0 1 | ♚♛♟♟♟♟ vs ♔♗♘♙ | w | 1-0
7r/P1k4P/8/5RR1/7b/8/r7/6K1 w - - 0 1 | ♚♜♜♝ vs ♔♖♖♙♙ | w | 1-0
5n1b/p1p5/pP6/3K4/k7/5B2/1P6/8 w - - 0 1 | ♚♝♞♟♟♟ vs ♔♗♙♙ | w | 1-0
8/8/8/6b1/1R2p2p/7p/5pPK/1N3k2 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♖♘♙ | w | 1-0
k7/2K5/8/1b6/B3N3/8/8/6B1 w - - 0 1 | ♚♝ vs ♔♗♗♘ | w | 1-0
N7/8/n3Qb1K/1pk5/3Np1p1/1P1p3p/3P4/4q3 w - - 0 1 | ♚♛♝♞♟♟♟♟♟ vs ♔♕♘♘♙♙ | w | 1-0
6R1/1p3p2/1K3kNp/2p1p3/4P2P/2P5/2p5/8 w - - 0 1 | ♚♟♟♟♟♟♟ vs ♔♖♘♙♙♙ | w | 1-0
5n1N/8/4P3/6NK/3k4/4n3/B2p4/8 w - - 0 1 | ♚♞♞♟ vs ♔♗♘♘♙ | w | 1-0
2R3r1/3p4/7b/k7/2K5/8/1P3R1r/8 w - - 0 1 | ♚♜♜♝♟ vs ♔♖♖♙ | w | 1-0
k2b4/P7/4P3/pK3B2/3p3N/8/7r/8 w - - 0 1 | ♚♜♝♟♟ vs ♔♗♘♙♙ | w | 1-0
6k1/7b/8/5pK1/5P2/8/6N1/8 w - - 0 1 | ♚♝♟ vs ♔♘♙ | w | 1-0
7k/1p5p/3b4/8/3K2NB/8/8/8 w - - 0 1 | ♚♝♟♟ vs ♔♗♘ | w | 1-0
8/4Pn2/7p/3N1k2/4q3/5pK1/3Q4/8 w - - 0 1 | ♚♛♞♟♟ vs ♔♕♘♙ | w | 1-0
k3N3/bp6/1p6/8/8/1N3K2/8/8 w - - 0 1 | ♚♝♟♟ vs ♔♘♘ | w | 1-0
5kr1/3Kp2p/8/1R4B1/8/8/8/8 w - - 0 1 | ♚♜♟♟ vs ♔♖♗ | w | 1-0
8/2rP2Kp/8/5kp1/8/8/6B1/8 w - - 0 1 | ♚♜♟♟ vs ♔♗♙ | w | ½-½
8/8/3k4/4R3/6K1/8/3b2pP/8 w - - 0 1 | ♚♝♟ vs ♔♖♙ | w | ½-½
B3K3/8/8/P1p5/8/8/2b4k/8 w - - 0 1 | ♚♝♟ vs ♔♗♙ | w | 1-0
8/8/5b1P/1p1Pk3/1Pp1P3/6p1/3N2p1/6K1 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♘♙♙♙♙ | w | 1-0
6b1/8/8/1P2k3/4p3/4N3/4P3/4K3 w - - 0 1 | ♚♝♟ vs ♔♘♙♙ | w | 1-0
1k6/8/1B5p/1R6/6K1/8/8/7r w - - 0 1 | ♚♜♟ vs ♔♖♗ | w | 1-0
8/8/6pp/7p/8/6Pk/5K2/5N2 w - - 0 1 | ♚♟♟♟ vs ♔♘♙ | w | 1-0
8/8/8/6b1/1R2p2p/7p/5pPK/1N3k2 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♖♘♙ | w | 1-0
8/6Kp/3P4/2Pr1kp1/8/8/8/5B2 w - - 0 1 | ♚♜♟♟ vs ♔♗♙♙ | w | ½-½
8/N2k4/7R/8/8/7K/4p3/6b1 w - - 0 1 | ♚♝♟ vs ♔♖♘ | w | ½-½
4N3/8/R7/7k/2n3n1/8/4p3/7K w - - 0 1 | ♚♞♞♟ vs ♔♖♘ | w | ½-½
3N4/p3ppk1/K2P3p/Pp2P1rP/8/p7/8/8 w - - 0 1 | ♚♜♟♟♟♟♟♟ vs ♔♘♙♙♙♙ | w | ½-½
8/8/P1p3N1/2Pb4/6p1/1P3pPp/8/2k2K2 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♘♙♙♙♙ | w | ½-½
8/3b4/k2p3P/1p1K3P/1P4r1/8/3R4/8 w - - 0 1 | ♚♜♝♟♟ vs ♔♖♙♙♙ | w | 1-0
8/8/4N3/1kP4b/1p1p4/1B4K1/8/8 w - - 0 1 | ♚♝♟♟ vs ♔♗♘♙ | w | 1-0
8/2p3pb/8/4kpK1/P7/2N2P2/8/8 w - - 0 1 | ♚♝♟♟♟ vs ♔♘♙♙ | w | 1-0
8/8/4p3/3k1P2/3p4/8/2P5/Bn3K2 w - - 0 1 | ♚♞♟♟ vs ♔♗♙♙ | w | 1-0
8/8/5k1p/7P/2N4b/8/4N2K/8 w - - 0 1 | ♚♝♟ vs ♔♘♘♙ | w | 1-0
1q6/p2R1Np1/4p3/8/2k1Pp2/2P2K2/1P6/8 w - - 0 1 | ♚♛♟♟♟♟ vs ♔♖♘♙♙♙ | w | 1-0
8/7p/1p2p2b/P2k4/3P4/3K2N1/7P/8 w - - 0 1 | ♚♝♟♟♟ vs ♔♘♙♙♙ | w | 1-0
