PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
a7aVV,r1br2k1/ppq2ppp/8/2N5/3n2n1/P4N2/1P1BBPPP/R2Q1RK1 w - - 5 16,a1c1 d4f3 g2f3 c7h2,1248,77,93,1214,kingsideAttack mate mateIn2 opening short,https://lichess.org/GGk4ftLY#31,Queens_Gambit_Declined Queens_Gambit_Declined_Semi-Tarrasch_Defense
a7aXg,8/1p1r2kp/p4np1/8/8/P1QqN3/1P4PP/4R1K1 w - - 0 36,e1d1 d3e3 c3e3 d7d1 g1f2 f6g4 f2f3 g4e3,2312,77,86,249,crushing discoveredAttack endgame fork veryLong,https://lichess.org/pmAefXvZ#71,
a7aXo,4r1k1/R7/7p/1p1pP1bq/3Bbp2/2P3P1/1P3Q1P/4R1K1 w - - 0 35,g3f4 g5h4 f2h4 h5h4,2125,77,92,2603,crushing master middlegame short,https://lichess.org/kx5lm2da#69,
a7agU,r4rk1/1b2bpp1/p6p/1p1qN3/8/1P2B2P/1P3PP1/2RQR1K1 w - - 0 19,e5d7 d5g2,812,78,82,137,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/zOnmoPPD#37,Sicilian_Defense Sicilian_Defense_Modern_Variations
a7ah2,8/8/7p/p4kpP/P7/5PK1/8/8 w - - 2 41,g3h3 f5f4 h3g2 g5g4 f3g4 f4g4,1385,76,84,321,crushing endgame long master pawnEndgame,https://lichess.org/62H7jOj4#81,
a7aig,r5k1/pb1p2p1/1p1Bpnqp/2P2p2/3n4/2PBP3/P4PPP/1R1Q1RK1 w - - 0 16,c3d4 g6g2,634,92,92,275,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/EwRVRmdc#31,Dutch_Defense Dutch_Defense_Queens_Knight_Variation
a7akU,r1b3k1/ppqpp2p/4r1p1/3RnP1P/8/P3B1Q1/1KP3P1/6NR w - - 0 20,h5g6 e5c4 b2a2 c7g3 g6h7 g8h8,1700,75,94,9832,crushing discoveredAttack long middlegame,https://lichess.org/I8rxjQa5#39,
a7alS,2r2rk1/1b5p/p4Pq1/3p2n1/1p1B4/8/PPP3Q1/2K3RR b - - 1 28,f8f7 g2g5 g6g5 g1g5,1181,76,93,4888,crushing middlegame short,https://lichess.org/Mn9Riqtm/black#56,
a7amj,5r1k/1p2N1p1/p3Q2p/8/8/8/Pbq3PP/4R2K b - - 1 29,f8f6 e6g8,1320,75,86,258,endgame mate mateIn1 oneMove,https://lichess.org/Qe6ND3Ok/black#58,
a7aqI,r1b1r1k1/3n1ppp/pP6/P1qppQN1/2p4B/2n5/B1P2PPP/R4RK1 b - - 6 23,f7f6 f5h7 g8f8 h7h8 f8e7 h8g7,1221,76,96,16133,advantage deflection kingsideAttack long middlegame,https://lichess.org/1FaPwpdr/black#46,
a7awq,r2q1rk1/ppp2pp1/5n1p/2bPn3/6b1/2NP2P1/PPP2PBP/R1B1QRK1 b - - 2 10,c7c6 e1e5 f8e8 e5f4,1500,76,95,21673,advantage hangingPiece middlegame short,https://lichess.org/QgOpho2S/black#20,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
a7ay5,5rk1/3r1q1n/2p3p1/p2Pp1P1/P1P5/2N1P2Q/4N3/R3K2R w KQ - 2 27,d5c6 f7f2,1082,79,90,331,mate mateIn1 middlegame oneMove,https://lichess.org/x3DFYyVy#53,
a7bA6,r1b1kb1r/1pp2ppp/p1N1p2n/qN5Q/2B5/8/P1PP1PPP/R1B1K2R b KQkq - 0 10,b7c6 b5d6 c7d6 h5a5,1488,74,94,484,advantage discoveredAttack opening short,https://lichess.org/5WWlLd98/black#20,Scandinavian_Defense Scandinavian_Defense_Main_Line
a7bD2,6k1/R7/2p1p3/2P4p/1P2rppK/P7/5P2/8 b - - 1 42,e4e2 b4b5 c6b5 c5c6 e2f2 c6c7 f2c2 a7a8,2440,87,90,1265,advancedPawn crushing endgame rookEndgame sacrifice veryLong,https://lichess.org/xzdR4eND/black#84,
a7bJ3,2r3k1/4Np2/3q2p1/p6p/1p2Q3/1P3P1P/P5P1/7K b - - 8 38,g8g7 e7c8 d6c5 c8e7,1421,76,90,966,crushing endgame hangingPiece short,https://lichess.org/bBEAr5P1/black#76,
a7bND,4r1k1/p5pp/1p6/8/3Q4/1P4Pq/P4P1P/3R2K1 w - - 1 26,d4d7 e8e1 d1e1 h3d7,1451,155,57,12,advantage deflection endgame short,https://lichess.org/cnvJzi5O#51,
a7bWo,2rr4/p1p2Qpp/2PN3k/4p3/8/1PPK1P2/q7/2B5 b - - 1 28,g7g5 f7f6 h6h5 f6g5,1329,75,93,1617,endgame mate mateIn2 short,https://lichess.org/GAxLcwXn/black#56,
